Iter,Time,S,E,I,R
135,135.0,43.0,5.0,8.0,43.0
136,136.0,42.0,6.0,8.0,43.0
137,137.0,42.0,5.0,9.0,43.0
138,138.0,41.0,6.0,9.0,43.0
139,139.0,41.0,5.0,10.0,43.0
140,140.0,40.0,6.0,10.0,43.0
141,141.0,40.0,6.0,9.0,44.0
142,142.0,40.0,6.0,8.0,45.0
143,143.0,40.0,5.0,9.0,45.0
144,144.0,40.0,5.0,8.0,46.0
145,145.0,40.0,5.0,7.0,47.0
146,146.0,40.0,4.0,8.0,47.0
147,147.0,39.0,5.0,8.0,47.0
148,148.0,39.0,4.0,9.0,47.0
149,149.0,39.0,4.0,8.0,48.0
150,150.0,39.0,4.0,7.0,49.0
151,151.0,39.0,3.0,8.0,49.0
152,152.0,38.0,4.0,8.0,49.0
153,153.0,38.0,4.0,7.0,50.0
154,154.0,38.0,3.0,8.0,50.0
155,155.0,38.0,2.0,9.0,50.0
156,156.0,38.0,2.0,8.0,51.0
157,157.0,38.0,2.0,7.0,52.0
158,158.0,38.0,2.0,6.0,53.0
159,159.0,38.0,2.0,5.0,54.0
160,160.0,37.0,3.0,5.0,54.0
161,161.0,37.0,3.0,4.0,55.0
162,162.0,36.0,4.0,4.0,55.0
163,163.0,36.0,3.0,5.0,55.0
164,164.0,36.0,3.0,4.0,56.0
165,165.0,36.0,2.0,5.0,56.0
166,166.0,36.0,1.0,6.0,56.0
167,167.0,36.0,0.0,7.0,56.0
168,168.0,35.0,1.0,7.0,56.0
169,169.0,34.0,2.0,7.0,56.0
170,170.0,34.0,2.0,6.0,57.0
171,171.0,33.0,3.0,6.0,57.0
172,172.0,33.0,3.0,5.0,58.0
173,173.0,33.0,3.0,4.0,59.0
174,174.0,32.0,4.0,4.0,59.0
175,175.0,32.0,4.0,3.0,60.0
176,176.0,32.0,3.0,4.0,60.0
177,177.0,32.0,2.0,5.0,60.0
178,178.0,32.0,2.0,4.0,61.0
179,179.0,32.0,1.0,5.0,61.0
180,180.0,32.0,1.0,4.0,62.0
181,181.0,31.0,2.0,4.0,62.0
182,182.0,30.0,3.0,4.0,62.0
183,183.0,30.0,3.0,3.0,63.0
184,184.0,30.0,2.0,4.0,63.0
185,185.0,30.0,2.0,3.0,64.0
186,186.0,29.0,3.0,3.0,64.0
187,187.0,28.0,4.0,3.0,64.0
188,188.0,27.0,5.0,3.0,64.0
189,189.0,27.0,4.0,4.0,64.0
190,190.0,27.0,3.0,5.0,64.0
191,191.0,27.0,3.0,4.0,65.0
192,192.0,26.0,4.0,4.0,65.0
193,193.0,25.0,5.0,4.0,65.0
194,194.0,24.0,6.0,4.0,65.0
195,195.0,24.0,6.0,3.0,66.0
196,196.0,24.0,5.0,4.0,66.0
197,197.0,24.0,5.0,3.0,67.0
198,198.0,24.0,4.0,4.0,67.0
199,199.0,24.0,4.0,3.0,68.0
200,200.0,24.0,3.0,4.0,68.0
201,201.0,24.0,2.0,5.0,68.0
202,202.0,24.0,2.0,4.0,69.0
203,203.0,23.0,3.0,4.0,69.0
204,204.0,23.0,3.0,3.0,70.0
205,205.0,22.0,4.0,3.0,70.0
206,206.0,22.0,4.0,2.0,71.0
207,207.0,22.0,3.0,3.0,71.0
208,208.0,22.0,3.0,2.0,72.0
209,209.0,22.0,2.0,3.0,72.0
210,210.0,22.0,1.0,4.0,72.0
211,211.0,21.0,2.0,4.0,72.0
212,212.0,21.0,2.0,3.0,73.0
213,213.0,21.0,2.0,2.0,74.0
214,214.0,21.0,2.0,1.0,75.0
215,215.0,21.0,1.0,2.0,75.0
216,216.0,20.0,2.0,2.0,75.0
217,217.0,20.0,1.0,3.0,75.0
218,218.0,19.0,2.0,3.0,75.0
219,219.0,19.0,2.0,2.0,76.0
220,220.0,19.0,2.0,1.0,77.0
221,221.0,19.0,2.0,0.0,78.0
222,222.0,19.0,1.0,1.0,78.0
223,223.0,19.0,0.0,2.0,78.0
224,224.0,18.0,1.0,2.0,78.0
225,225.0,18.0,0.0,3.0,78.0
226,226.0,18.0,0.0,2.0,79.0
227,227.0,17.0,1.0,2.0,79.0
228,228.0,17.0,1.0,1.0,80.0
229,229.0,17.0,0.0,2.0,80.0
230,230.0,17.0,0.0,1.0,81.0
231,231.0,16.0,1.0,1.0,81.0
232,232.0,16.0,0.0,2.0,81.0
233,233.0,16.0,0.0,1.0,82.0
234,234.0,16.0,0.0,0.0,83.0
235,235.0,16.0,0.0,0.0,83.0
236,236.0,16.0,0.0,0.0,83.0
237,237.0,16.0,0.0,0.0,83.0
238,238.0,16.0,0.0,0.0,83.0
239,239.0,16.0,0.0,0.0,83.0
240,240.0,16.0,0.0,0.0,83.0
241,241.0,16.0,0.0,0.0,83.0
242,242.0,16.0,0.0,0.0,83.0
243,243.0,16.0,0.0,0.0,83.0
244,244.0,16.0,0.0,0.0,83.0
245,245.0,16.0,0.0,0.0,83.0
246,246.0,16.0,0.0,0.0,83.0
247,247.0,16.0,0.0,0.0,83.0
248,248.0,16.0,0.0,0.0,83.0
249,249.0,16.0,0.0,0.0,83.0
250,250.0,16.0,0.0,0.0,83.0
251,251.0,16.0,0.0,0.0,83.0
252,252.0,16.0,0.0,0.0,83.0
253,253.0,16.0,0.0,0.0,83.0
254,254.0,16.0,0.0,0.0,83.0
255,255.0,16.0,0.0,0.0,83.0
256,256.0,16.0,0.0,0.0,83.0
257,257.0,16.0,0.0,0.0,83.0
258,258.0,16.0,0.0,0.0,83.0
259,259.0,16.0,0.0,0.0,83.0
260,260.0,16.0,0.0,0.0,83.0
261,261.0,16.0,0.0,0.0,83.0
262,262.0,16.0,0.0,0.0,83.0
263,263.0,16.0,0.0,0.0,83.0
264,264.0,16.0,0.0,0.0,83.0
265,265.0,16.0,0.0,0.0,83.0
266,266.0,16.0,0.0,0.0,83.0
267,267.0,16.0,0.0,0.0,83.0
268,268.0,16.0,0.0,0.0,83.0
269,269.0,16.0,0.0,0.0,83.0
270,270.0,16.0,0.0,0.0,83.0
271,271.0,16.0,0.0,0.0,83.0
272,272.0,16.0,0.0,0.0,83.0
273,273.0,16.0,0.0,0.0,83.0
274,274.0,16.0,0.0,0.0,83.0
275,275.0,16.0,0.0,0.0,83.0
276,276.0,16.0,0.0,0.0,83.0
277,277.0,16.0,0.0,0.0,83.0
278,278.0,16.0,0.0,0.0,83.0
279,279.0,16.0,0.0,0.0,83.0
280,280.0,16.0,0.0,0.0,83.0
281,281.0,16.0,0.0,0.0,83.0
282,282.0,16.0,0.0,0.0,83.0
283,283.0,16.0,0.0,0.0,83.0
284,284.0,16.0,0.0,0.0,83.0
285,285.0,16.0,0.0,0.0,83.0
286,286.0,16.0,0.0,0.0,83.0
287,287.0,16.0,0.0,0.0,83.0
288,288.0,16.0,0.0,0.0,83.0
289,289.0,16.0,0.0,0.0,83.0
290,290.0,16.0,0.0,0.0,83.0
291,291.0,16.0,0.0,0.0,83.0
292,292.0,16.0,0.0,0.0,83.0
293,293.0,16.0,0.0,0.0,83.0
294,294.0,16.0,0.0,0.0,83.0
295,295.0,16.0,0.0,0.0,83.0
296,296.0,16.0,0.0,0.0,83.0
297,297.0,16.0,0.0,0.0,83.0
298,298.0,16.0,0.0,0.0,83.0
299,299.0,16.0,0.0,0.0,83.0
300,300.0,16.0,0.0,0.0,83.0
301,301.0,16.0,0.0,0.0,83.0
302,302.0,16.0,0.0,0.0,83.0
303,303.0,16.0,0.0,0.0,83.0
304,304.0,16.0,0.0,0.0,83.0
305,305.0,16.0,0.0,0.0,83.0
306,306.0,16.0,0.0,0.0,83.0
307,307.0,16.0,0.0,0.0,83.0
308,308.0,16.0,0.0,0.0,83.0
309,309.0,16.0,0.0,0.0,83.0
310,310.0,16.0,0.0,0.0,83.0
311,311.0,16.0,0.0,0.0,83.0
312,312.0,16.0,0.0,0.0,83.0
313,313.0,16.0,0.0,0.0,83.0
314,314.0,16.0,0.0,0.0,83.0
315,315.0,16.0,0.0,0.0,83.0
316,316.0,16.0,0.0,0.0,83.0
317,317.0,16.0,0.0,0.0,83.0
318,318.0,16.0,0.0,0.0,83.0
319,319.0,16.0,0.0,0.0,83.0
320,320.0,16.0,0.0,0.0,83.0
321,321.0,16.0,0.0,0.0,83.0
322,322.0,16.0,0.0,0.0,83.0
323,323.0,16.0,0.0,0.0,83.0
324,324.0,16.0,0.0,0.0,83.0
325,325.0,16.0,0.0,0.0,83.0
326,326.0,16.0,0.0,0.0,83.0
327,327.0,16.0,0.0,0.0,83.0
328,328.0,16.0,0.0,0.0,83.0
329,329.0,16.0,0.0,0.0,83.0
330,330.0,16.0,0.0,0.0,83.0
331,331.0,16.0,0.0,0.0,83.0
332,332.0,16.0,0.0,0.0,83.0
333,333.0,16.0,0.0,0.0,83.0
334,334.0,16.0,0.0,0.0,83.0
335,335.0,16.0,0.0,0.0,83.0
336,336.0,16.0,0.0,0.0,83.0
337,337.0,16.0,0.0,0.0,83.0
338,338.0,16.0,0.0,0.0,83.0
339,339.0,16.0,0.0,0.0,83.0
340,340.0,16.0,0.0,0.0,83.0
341,341.0,16.0,0.0,0.0,83.0
342,342.0,16.0,0.0,0.0,83.0
343,343.0,16.0,0.0,0.0,83.0
344,344.0,16.0,0.0,0.0,83.0
345,345.0,16.0,0.0,0.0,83.0
346,346.0,16.0,0.0,0.0,83.0
347,347.0,16.0,0.0,0.0,83.0
348,348.0,16.0,0.0,0.0,83.0
349,349.0,16.0,0.0,0.0,83.0
350,350.0,16.0,0.0,0.0,83.0
351,351.0,16.0,0.0,0.0,83.0
352,352.0,16.0,0.0,0.0,83.0
353,353.0,16.0,0.0,0.0,83.0
354,354.0,16.0,0.0,0.0,83.0
355,355.0,16.0,0.0,0.0,83.0
356,356.0,16.0,0.0,0.0,83.0
357,357.0,16.0,0.0,0.0,83.0
358,358.0,16.0,0.0,0.0,83.0
359,359.0,16.0,0.0,0.0,83.0
360,360.0,16.0,0.0,0.0,83.0
361,361.0,16.0,0.0,0.0,83.0
362,362.0,16.0,0.0,0.0,83.0
363,363.0,16.0,0.0,0.0,83.0
364,364.0,16.0,0.0,0.0,83.0
365,365.0,16.0,0.0,0.0,83.0
366,366.0,16.0,0.0,0.0,83.0
367,367.0,16.0,0.0,0.0,83.0
368,368.0,16.0,0.0,0.0,83.0
369,369.0,16.0,0.0,0.0,83.0
370,370.0,16.0,0.0,0.0,83.0
371,371.0,16.0,0.0,0.0,83.0
372,372.0,16.0,0.0,0.0,83.0
373,373.0,16.0,0.0,0.0,83.0
374,374.0,16.0,0.0,0.0,83.0
375,375.0,16.0,0.0,0.0,83.0
376,376.0,16.0,0.0,0.0,83.0
377,377.0,16.0,0.0,0.0,83.0
378,378.0,16.0,0.0,0.0,83.0
379,379.0,16.0,0.0,0.0,83.0
380,380.0,16.0,0.0,0.0,83.0
381,381.0,16.0,0.0,0.0,83.0
382,382.0,16.0,0.0,0.0,83.0
383,383.0,16.0,0.0,0.0,83.0
384,384.0,16.0,0.0,0.0,83.0
385,385.0,16.0,0.0,0.0,83.0
386,386.0,16.0,0.0,0.0,83.0
387,387.0,16.0,0.0,0.0,83.0
388,388.0,16.0,0.0,0.0,83.0
389,389.0,16.0,0.0,0.0,83.0
390,390.0,16.0,0.0,0.0,83.0
391,391.0,16.0,0.0,0.0,83.0
392,392.0,16.0,0.0,0.0,83.0
393,393.0,16.0,0.0,0.0,83.0
394,394.0,16.0,0.0,0.0,83.0
395,395.0,16.0,0.0,0.0,83.0
396,396.0,16.0,0.0,0.0,83.0
397,397.0,16.0,0.0,0.0,83.0
398,398.0,16.0,0.0,0.0,83.0
399,399.0,16.0,0.0,0.0,83.0
400,400.0,16.0,0.0,0.0,83.0
401,401.0,16.0,0.0,0.0,83.0
402,402.0,16.0,0.0,0.0,83.0
403,403.0,16.0,0.0,0.0,83.0
404,404.0,16.0,0.0,0.0,83.0
405,405.0,16.0,0.0,0.0,83.0
406,406.0,16.0,0.0,0.0,83.0
407,407.0,16.0,0.0,0.0,83.0
408,408.0,16.0,0.0,0.0,83.0
409,409.0,16.0,0.0,0.0,83.0
410,410.0,16.0,0.0,0.0,83.0
411,411.0,16.0,0.0,0.0,83.0
412,412.0,16.0,0.0,0.0,83.0
413,413.0,16.0,0.0,0.0,83.0
414,414.0,16.0,0.0,0.0,83.0
415,415.0,16.0,0.0,0.0,83.0
416,416.0,16.0,0.0,0.0,83.0
417,417.0,16.0,0.0,0.0,83.0
418,418.0,16.0,0.0,0.0,83.0
419,419.0,16.0,0.0,0.0,83.0
420,420.0,16.0,0.0,0.0,83.0
421,421.0,16.0,0.0,0.0,83.0
422,422.0,16.0,0.0,0.0,83.0
423,423.0,16.0,0.0,0.0,83.0
424,424.0,16.0,0.0,0.0,83.0
425,425.0,16.0,0.0,0.0,83.0
426,426.0,16.0,0.0,0.0,83.0
427,427.0,16.0,0.0,0.0,83.0
428,428.0,16.0,0.0,0.0,83.0
429,429.0,16.0,0.0,0.0,83.0
430,430.0,16.0,0.0,0.0,83.0
431,431.0,16.0,0.0,0.0,83.0
432,432.0,16.0,0.0,0.0,83.0
433,433.0,16.0,0.0,0.0,83.0
434,434.0,16.0,0.0,0.0,83.0
435,435.0,16.0,0.0,0.0,83.0
436,436.0,16.0,0.0,0.0,83.0
437,437.0,16.0,0.0,0.0,83.0
438,438.0,16.0,0.0,0.0,83.0
439,439.0,16.0,0.0,0.0,83.0
440,440.0,16.0,0.0,0.0,83.0
441,441.0,16.0,0.0,0.0,83.0
442,442.0,16.0,0.0,0.0,83.0
443,443.0,16.0,0.0,0.0,83.0
444,444.0,16.0,0.0,0.0,83.0
445,445.0,16.0,0.0,0.0,83.0
446,446.0,16.0,0.0,0.0,83.0
447,447.0,16.0,0.0,0.0,83.0
448,448.0,16.0,0.0,0.0,83.0
449,449.0,16.0,0.0,0.0,83.0
450,450.0,16.0,0.0,0.0,83.0
451,451.0,16.0,0.0,0.0,83.0
452,452.0,16.0,0.0,0.0,83.0
453,453.0,16.0,0.0,0.0,83.0
454,454.0,16.0,0.0,0.0,83.0
455,455.0,16.0,0.0,0.0,83.0
456,456.0,16.0,0.0,0.0,83.0
457,457.0,16.0,0.0,0.0,83.0
458,458.0,16.0,0.0,0.0,83.0
459,459.0,16.0,0.0,0.0,83.0
460,460.0,16.0,0.0,0.0,83.0
461,461.0,16.0,0.0,0.0,83.0
462,462.0,16.0,0.0,0.0,83.0
463,463.0,16.0,0.0,0.0,83.0
464,464.0,16.0,0.0,0.0,83.0
465,465.0,16.0,0.0,0.0,83.0
466,466.0,16.0,0.0,0.0,83.0
467,467.0,16.0,0.0,0.0,83.0
468,468.0,16.0,0.0,0.0,83.0
469,469.0,16.0,0.0,0.0,83.0
470,470.0,16.0,0.0,0.0,83.0
471,471.0,16.0,0.0,0.0,83.0
472,472.0,16.0,0.0,0.0,83.0
473,473.0,16.0,0.0,0.0,83.0
474,474.0,16.0,0.0,0.0,83.0
475,475.0,16.0,0.0,0.0,83.0
476,476.0,16.0,0.0,0.0,83.0
477,477.0,16.0,0.0,0.0,83.0
478,478.0,16.0,0.0,0.0,83.0
479,479.0,16.0,0.0,0.0,83.0
480,480.0,16.0,0.0,0.0,83.0
481,481.0,16.0,0.0,0.0,83.0
482,482.0,16.0,0.0,0.0,83.0
483,483.0,16.0,0.0,0.0,83.0
484,484.0,16.0,0.0,0.0,83.0
485,485.0,16.0,0.0,0.0,83.0
486,486.0,16.0,0.0,0.0,83.0
487,487.0,16.0,0.0,0.0,83.0
488,488.0,16.0,0.0,0.0,83.0
489,489.0,16.0,0.0,0.0,83.0
490,490.0,16.0,0.0,0.0,83.0
491,491.0,16.0,0.0,0.0,83.0
492,492.0,16.0,0.0,0.0,83.0
493,493.0,16.0,0.0,0.0,83.0
494,494.0,16.0,0.0,0.0,83.0
495,495.0,16.0,0.0,0.0,83.0
496,496.0,16.0,0.0,0.0,83.0
497,497.0,16.0,0.0,0.0,83.0
498,498.0,16.0,0.0,0.0,83.0
499,499.0,16.0,0.0,0.0,83.0
500,500.0,16.0,0.0,0.0,83.0
